what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1333126554279
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1333126554284
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1333126554287
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1333126554290
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1333126554293
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1333126554296
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1333126554300
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1333126554303
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1333126554308
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1333126554311
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1333126554311
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1333126554314
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1333126554317
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1333126554320
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1333126554324
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1333126554327
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1333126554330
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333126554334
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333126554337
os,sysinfo,,,"win32",1333126554367
arch,sysinfo,,,"x86",1333126554367
ws,sysinfo,,,"win32",1333126554367
locale,sysinfo,,,"ja_JP",1333126554367
processors,sysinfo,,,"1",1333126554367
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333126554367
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1333126554367
java.specification.name,sysinfo,,,"Java Platform API Specification",1333126554367
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333126554367
java.specification.version,sysinfo,,,"1.7",1333126554367
java.vendor,sysinfo,,,"Oracle Corporation",1333126554367
java.version,sysinfo,,,"1.7.0_03",1333126554367
java.vm.info,sysinfo,,,"mixed mode, sharing",1333126554367
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333126554367
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333126554367
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333126554367
java.vm.specification.version,sysinfo,,,"1.7",1333126554367
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333126554368
java.vm.version,sysinfo,,,"22.1-b02",1333126554368
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1333126554386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333126561265
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1333126561484
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1333126564410
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1333126564512
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1333126564630
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1333126564871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333126565409
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1333126566464
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1333126567044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333126570490
started,bundle,com.android.ide.eclipse.ddms,17.0.0.v201203161636-291853,"com.android.ide.eclipse.ddms",1333126588616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333126589666
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1333126592374
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1333126592618
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1333126592622
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1333126593235
started,bundle,com.android.ide.eclipse.traceview,17.0.0.v201203161636-291853,"com.android.ide.eclipse.traceview",1333126599345
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1333126600252
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1333126614880
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1333126617310
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1333126617596
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1333126619338
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1333126636911
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1333126775260
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1333126775414
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1333126775501
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1333126778526
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1333126789800
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1333126791410
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1333126791493
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1333126791816
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1333126791940
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1333126792292
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1333126793130
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1333126795286
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1333126795496
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1333126814765
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1333126838689
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1333126838954
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1333126857302
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1333126860947
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1333126862996
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1333126864456
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1333126864717
closed,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1333126864717
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1333126865928
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1333126867600
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1333126867895
closed,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1333126868957
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1333126880663
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1333126891618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333126922437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333126933695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333126954163
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333126984769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333126997795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127020728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127040709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127044111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1333127052981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127116751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127139067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127148512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127166863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127195101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127202991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127211830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127218709
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127222309
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333127229452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1333127279024
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1333127294100
